('admin', 'N/8x6ihxEIzpb7VBlNshTw==.iu9vgtpD57YU6JswDZ23Ekag0z1SwebXHKOUNAfQ6Qw=', N'蝟餌絞蝞∠???, 'admin@sheetflow.com', 'Admin')
('acct_mgr', 'cafsTH/Z3qSZsopJntSVIg==.BfaibwI3dxj348Un9GmWD9cQiy7IUh7pManegYQp2M4=', N'???其蜓蝞?, 'acct_mgr@sheetflow.com', 'Manager')
('acct_user', 'QWc6XtKGTAFF/KVjmLD7EQ==.XggkmW6E1d0o28w6elyPXVmpm9Nkgj5BfisgO7Ac2tI=', N'???函???, 'acct_user@sheetflow.com', 'User')
('fin_mgr', 'Db56J7hXXQr9eyfP/7/dFw==.2VLPtPAVcHHICQz8b0cnuGUCgihR6zcIl6Eyio/V9BE=', N'鞎∪??其蜓蝞?, 'fin_mgr@sheetflow.com', 'Manager')
('fin_user', 'Bcy9zkvTqvvMaObrwsIxMg==.VkrdllYZVmBfnw6QAUTUhR3rBIxcPQfGD1CtzPh0wFY=', N'鞎∪??函???, 'fin_user@sheetflow.com', 'User')
('food_mgr', 'jfDlag3I5ej3yncnHWp1Uw==.fsfjCHtqzFiNOcF6inpNov9pI6312s0CtIinlQphz/0=', N'憌??其蜓蝞?, 'food_mgr@sheetflow.com', 'Manager')
('food_user', 'mWdXVfRahFhwlq2mX1MfYg==.wRuN/94t1dNKJ9RnK8pckFECdrVHE+uPOe8HosNB1yQ=', N'憌??函???, 'food_user@sheetflow.com', 'User')
('it_mgr', 'Wr8/p8eFvsxSjt2xG1vYjw==.JnsywsEJPWlX4yn5QYuVuiECjXM2anvfSXfSf8S9FlM=', N'鞈??其蜓蝞?, 'it_mgr@sheetflow.com', 'Manager')
('it_user', 'Blbxvw/0tnQD/HSdiFW7WA==.PEIlEyJfukEd3JWnWe8Jh9THERPCmkqoZhoaLUV1rxU=', N'鞈??函???, 'it_user@sheetflow.com', 'User')
('plan_mgr', 'Uq2w9yJWUq0/Iw5vIRUxqw==.xMdkABeGkz41suhdxeD5BnPQQWo9Dj+N6CrlHQ31xaM=', N'隡??其蜓蝞?, 'plan_mgr@sheetflow.com', 'Manager')
('plan_user', 'OIeErXUXWOB4pmpc48xeog==.R+0CKSTKCzUd6U/DF2daoNcZ1Z2NTLa+Ln/h3uYu4qk=', N'隡??函???, 'plan_user@sheetflow.com', 'User')
